caseid,person_id,arrest_date,dispos_date,treat,re_arrest,prior_arrests,address,race,gender,bdate,city,age,gr9_gpa,gr10_gpa,reconstructed_prior_arrests,reconstructed_re_arrest
5690,24,2012-12-25,2013-01-07,1,0,3,"2110 W 77TH PL, CHICAGO",BLACK,M,1983-06-23,chicago,29.0,,,3,0
53979,25,2013-01-01,2014-07-19,1,0,4,"2839 S SHORT ST, CHICAGO",BLACK,M,1985-06-30,chicago,27.0,,,4,0
56694,26,2012-05-24,2013-06-04,1,0,4,"350 E EASTGATE PL, CHICAGO",BLACK,M,1983-11-20,chicago,28.0,,,4,0
49541,26,2013-07-15,2013-08-11,1,0,5,"849 W SHERIDAN RD, CHICAGO",BLACK,M,1983-11-20,chicago,29.0,,,5,0
19794,27,2013-02-24,2013-09-17,0,1,5,"2237 W EISENHOWER OAKLEY BL XR, CHICAGO",BLACK,F,1978-08-23,chicago,34.0,,,5,1
41639,27,2013-04-05,2013-08-08,1,0,6,"2438 S STEVENSON FRANKLIN ST XR, CHICAGO",BLACK,F,1978-08-23,chicago,34.0,,,6,0
17452,28,2012-02-27,2015-04-25,0,1,1,"78 E 118TH PL, CHICAGO",BLACK,M,1984-08-25,chicago,27.0,,,1,1
42058,28,2013-10-21,2014-12-14,0,0,2,"1265 W WESTGATE TER, CHICAGO",BLACK,M,1984-08-25,chicago,29.0,,,2,0
85632,29,2013-02-24,2014-11-17,0,0,0,"1097 W 91ST ST, CHICAGO",BLACK,M,1986-08-23,chicago,26.0,,,0,0
13461,30,2012-06-13,2012-08-21,0,1,4,"1513 W 77TH ST, CHICAGO",BLACK,M,1980-12-10,chicago,31.0,,,4,1
31947,30,2012-07-12,2012-08-17,0,0,5,"1621 E 126TH ST, CHICAGO",BLACK,M,1980-12-10,chicago,31.0,,,5,0
84054,31,2012-02-16,2012-02-19,1,0,1,"4077 W FLOURNOY ST, CHICAGO",BLACK,F,1987-08-15,chicago,24.0,3.167,2.143,1,0
44949,31,2012-04-16,2012-04-17,0,0,2,"3191 W PIERCE AVE, CHICAGO",BLACK,F,1987-08-15,chicago,24.0,3.167,2.143,2,0
47065,31,2013-06-10,2015-02-28,1,0,3,"3597 N WAYNE AVE, CHICAGO",BLACK,F,1987-08-15,chicago,25.0,,,3,0
14533,32,2012-12-20,2013-03-26,0,1,4,"649 N PARKSIDE AVE, CHICAGO",ASIAN,M,1981-06-18,chicago,31.0,,,4,1
71301,32,2013-01-22,2013-02-22,1,0,5,"4617 S DEARBORN ST, CHICAGO",ASIAN,M,1981-06-18,chicago,31.0,,,5,0
46713,32,2013-07-20,2013-09-28,0,0,6,"2773 S CROWELL ST, CHICAGO",ASIAN,M,1981-06-18,chicago,32.0,,,6,0
21661,33,2013-05-04,2013-05-27,1,0,4,"2689 N JONES ST, CHICAGO",BLACK,F,1980-10-31,chicago,32.0,,,4,0
22766,35,2012-02-22,2012-06-03,0,0,3,"2803 N HARDING AVE, CHICAGO",BLACK,M,1989-08-21,chicago,22.0,,,3,0
90558,35,2013-04-08,2013-10-20,1,0,4,"2549 W ARDMORE AVE, Chicago",BLACK,M,1989-08-21,chicago,23.0,,,4,0
55805,38,2013-03-08,2013-04-26,0,0,1,"10147 S BISHOP FORD STONY ISLAND AV XR, CHICAGO",BLACK,M,1985-09-04,chicago,27.0,,,1,0
19340,40,2013-04-19,2013-10-24,1,1,2,"31 E 120TH PL, CHICAGO",BLACK,F,1986-10-16,chicago,26.0,,,2,1
15276,40,2013-10-05,2013-11-14,0,0,3,"8056 S DAN RYAN 76TH ST XR, CHICAGO",BLACK,F,1986-10-16,chicago,26.0,,,3,0
15915,42,2012-10-27,2013-04-20,0,0,0,"2161 W EISENHOWER DAMEN AV ER, CHICAGO",BLACK,M,1984-04-24,chicago,28.0,,,0,0
77316,45,2012-10-21,2012-11-25,0,0,1,"670 E 88TH PL, CHICAGO",BLACK,M,1989-04-19,chicago,23.0,,,1,0
73058,45,2013-09-21,2014-04-17,0,0,2,"1034 N KEDZIE AVE, CHICAGO",BLACK,M,1989-04-19,chicago,24.0,,,2,0
53091,46,2012-03-29,2013-02-23,0,0,1,"5196 N KEYSTONE AVE, CHICAGO",BLACK,M,1988-09-25,chicago,23.0,,,1,0
51950,47,2012-10-06,2013-08-13,0,1,7,"4428 S OB DAN RYAN SR, CHICAGO",WHITE,M,1960-04-03,chicago,52.0,,,7,1
62700,47,2013-05-23,2013-08-12,0,0,8,"2901 W CORTLAND ST, CHICAGO",WHITE,M,1960-04-03,chicago,53.0,,,8,0
14024,48,2012-02-25,2012-12-08,1,1,3,"6115 S CLAREMONT AVE, Chicago",BLACK,M,1987-08-24,chicago,24.0,2.571,3.625,3,1
30130,48,2012-09-20,2013-02-26,1,1,4,"124 W 9TH ST, Chicago",BLACK,M,1987-08-24,chicago,25.0,,,4,1
9751,48,2012-11-20,2015-03-02,1,1,5,"3 N POLLOCK ST, CHICAGO",BLACK,M,1987-08-24,chicago,25.0,,,5,1
11487,48,2013-01-31,2013-05-13,0,0,6,"2823 W GRENSHAW ST, CHICAGO",BLACK,M,1987-08-24,chicago,25.0,,,6,0
78890,51,2012-08-01,2013-08-01,1,1,4,"751 W 43RD PL, CHICAGO",ASIAN,M,1985-01-28,chicago,27.0,,,4,1
46959,51,2013-03-09,2014-10-02,1,0,5,"2576 N HARTLAND CT, CHICAGO",ASIAN,M,1985-01-28,chicago,28.0,,,5,0
31939,52,2012-04-20,2012-09-13,0,0,1,"148 N HOMAN BLVD, CHICAGO",WHITE,M,1985-10-17,chicago,26.0,,,1,0
22397,52,2013-08-20,2014-03-07,0,1,2,"283 W HADDOCK PL, CHICAGO",WHITE,M,1985-10-17,chicago,27.0,,,2,1
22929,52,2013-10-10,2013-10-24,1,0,3,"112 E CARVER PLZ, CHICAGO",WHITE,M,1985-10-17,chicago,27.0,,,3,0
72741,53,2013-01-02,2013-04-04,0,0,0,"3084 N WATERLOO CT, Chicago",BLACK,M,1988-06-30,chicago,24.0,2.2,2.167,0,0
86359,54,2012-07-17,2012-08-19,0,0,4,"7880 S WENTWORTH AVE, CHICAGO",WHITE,M,1980-01-13,chicago,32.0,,,4,0
34656,54,2012-12-09,2012-12-12,1,0,5,"5894 W VICTORIA ST, CHICAGO",WHITE,M,1980-01-13,chicago,32.0,,,5,0
37435,54,2012-12-14,2013-03-20,0,0,6,"6195 N NEENAH AVE, CHICAGO",WHITE,M,1980-01-13,chicago,32.0,,,6,0
78503,54,2013-05-16,2014-09-05,1,0,7,"1496 S CAMPUS PKWY, CHICAGO",WHITE,M,1980-01-13,chicago,33.0,,,7,0
66086,57,2012-05-02,2012-08-27,1,1,7,"3463 E 100TH ST, Chicago",BLACK,M,1966-10-29,chicago,45.0,,,7,1
43434,57,2012-08-26,2013-01-11,1,0,8,"659 W BROMPTON AVE, CHICAGO",BLACK,M,1966-10-29,chicago,45.0,,,8,0
35937,57,2013-07-12,2015-08-29,1,0,9,"5208 N WESLEY TER, CHICAGO",BLACK,M,1966-10-29,chicago,46.0,,,9,0
80982,58,2013-08-22,2013-11-18,0,0,3,"4363 N MARMORA AVE, CHICAGO",ASIAN,M,1977-02-18,chicago,36.0,,,3,0
98839,59,2012-03-24,2012-06-08,0,0,2,"4160 N LECLAIRE AVE, CHICAGO",BLACK,F,1975-09-20,chicago,36.0,,,2,0
33393,63,2012-06-21,2012-09-06,0,0,4,"10276 S BISHOP FORD 103RD ST XR WB, CHICAGO",WHITE,M,1977-12-18,chicago,34.0,,,4,0
74351,63,2013-03-02,2013-04-09,1,0,5,"289 N GARVEY CT, Chicago",WHITE,M,1977-12-18,chicago,35.0,,,5,0
12722,64,2013-04-10,2013-04-22,1,0,3,"1464 W WEBSTER AVE, CHICAGO",BLACK,M,1979-10-07,chicago,33.0,,,3,0
85331,66,2012-06-26,2013-07-01,1,0,3,"13671 S BRAINARD AVE, Chicago",BLACK,M,1987-12-23,chicago,24.0,4.0,3.143,3,0
92930,67,2012-01-15,2012-05-07,1,0,2,"3638 E 95TH ST, CHICAGO",BLACK,M,1979-07-14,chicago,32.0,,,2,0
27650,69,2013-05-17,2013-12-18,1,0,1,"4001 W I55 PULASKI RD XR, CHICAGO",BLACK,M,1986-11-13,chicago,26.0,,,1,0
92348,70,2012-03-04,2012-06-14,1,0,3,"6076 N EDENS PETERSON AV ER, CHICAGO",BLACK,M,1980-08-31,chicago,31.0,,,3,0
71042,70,2012-08-29,2013-02-27,0,1,4,"1490 W 95TH PL, CHICAGO",BLACK,M,1980-08-31,chicago,31.0,,,4,1
71464,70,2012-09-24,2012-10-14,1,0,5,"5625 N REDWOOD DR, CHICAGO",BLACK,M,1980-08-31,chicago,32.0,,,5,0
16654,70,2013-02-04,2013-03-06,1,1,6,"2729 N HAMPDEN CT, CHICAGO",BLACK,M,1980-08-31,chicago,32.0,,,6,1
93682,70,2013-03-01,2014-02-28,1,1,7,"5403 N MAGNET AVE, CHICAGO",BLACK,M,1980-08-31,chicago,32.0,,,7,1
46263,70,2013-07-16,2014-01-24,1,0,8,"604 W KEMPER PL, CHICAGO",BLACK,M,1980-08-31,chicago,32.0,,,8,0
20960,71,2012-04-29,2013-01-22,0,0,3,"0 W I190 EXPY OB, Chicago",ASIAN,M,1985-10-26,chicago,26.0,,,3,0
62369,71,2013-05-31,2013-09-15,1,0,4,"4888 S DAN RYAN EXPRESS EXPY IB, CHICAGO",ASIAN,M,1985-10-26,chicago,27.0,,,4,0
53284,72,2013-01-26,2013-11-06,1,0,2,"850 E 64TH PL, Chicago",BLACK,M,1991-07-25,chicago,21.0,,,2,0
79001,73,2012-05-21,2012-11-19,0,0,1,"55 N KILBOURN AVE, CHICAGO",BLACK,M,1990-11-17,chicago,21.0,,,1,0
18521,73,2013-01-02,2013-05-11,0,0,2,"753 W LIBERTY ST, CHICAGO",BLACK,M,1990-11-17,chicago,22.0,,,2,0
69525,74,2012-02-04,2012-04-16,1,0,4,"1796 E MUSEUM DR, CHICAGO",WHITE,M,1970-08-03,chicago,41.0,,,4,0
28846,74,2013-10-21,2014-02-23,1,0,5,"2573 W EISENHOWER WESTERN AV ER, CHICAGO",WHITE,M,1970-08-03,chicago,43.0,,,5,0
76077,75,2013-04-25,2013-11-07,0,1,3,"3891 W AINSLIE ST, CHICAGO",BLACK,M,1993-10-22,chicago,19.0,,,3,1
57151,75,2013-08-23,2013-11-15,0,0,4,"2562 S DAN RYAN OB STEVENSON IB ER, CHICAGO",BLACK,M,1993-10-22,chicago,19.0,,,4,0
23459,77,2012-06-21,2013-07-09,0,0,5,"5304 S DAN RYAN EXPRESS SR, CHICAGO",BLACK,M,1979-12-18,chicago,32.0,,,5,0
6575,79,2012-03-09,2012-09-28,0,1,5,"4681 N POTAWATOMIE AVE, CHICAGO",WHITE,M,1970-09-05,chicago,41.0,,,5,1
2949,79,2012-08-30,2012-09-03,0,0,6,"8491 S CAMPBELL AVE, CHICAGO",WHITE,M,1970-09-05,chicago,41.0,,,6,0
78190,79,2013-05-30,2014-11-20,1,1,7,"1222 W 23RD ST, CHICAGO",WHITE,M,1970-09-05,chicago,42.0,,,7,1
34507,79,2013-07-22,2014-03-19,0,0,8,"4475 W STRONG ST, Chicago",WHITE,M,1970-09-05,chicago,42.0,,,8,0
35080,80,2012-11-16,2013-01-28,0,0,1,"7199 S CHICAGO SKYWAY ST LAWRENCE AV ER, CHICAGO",BLACK,M,1989-05-15,chicago,23.0,,,1,0
8373,80,2013-04-22,2013-05-26,1,0,2,"4529 S OB DAN RYAN SR, CHICAGO",BLACK,M,1989-05-15,chicago,23.0,,,2,0
25076,80,2013-07-17,2013-11-14,1,0,3,"4592 S DAN RYAN 47TH ST ER, CHICAGO",BLACK,M,1989-05-15,chicago,24.0,,,3,0
63166,82,2013-01-18,2013-04-01,0,0,1,"6803 N LEOTI AVE, CHICAGO",WHITE,F,1993-07-17,chicago,19.0,,,1,0
53943,83,2012-10-22,2013-05-14,1,0,3,"1475 E 65TH PL, CHICAGO",BLACK,M,1989-04-20,chicago,23.0,,,3,0
72110,84,2012-01-18,2012-10-30,0,1,2,"2934 W 45TH PL, CHICAGO",BLACK,M,1984-07-16,chicago,27.0,,,2,1
85451,84,2012-04-15,2012-06-09,1,1,3,"2246 S STEVENSON IB LSD NB ER, CHICAGO",BLACK,M,1984-07-16,chicago,27.0,,,3,1
60507,84,2012-05-08,2012-10-29,1,1,4,"5814 S LAPORTE AVE, Chicago",BLACK,M,1984-07-16,chicago,27.0,,,4,1
39259,84,2012-08-03,2013-08-28,0,0,5,"6359 S LAPORTE AVE, CHICAGO",BLACK,M,1984-07-16,chicago,28.0,,,5,0
2617,85,2012-09-30,2012-11-03,1,0,1,"2455 W 50TH PL, CHICAGO",BLACK,M,1983-03-29,chicago,29.0,,,1,0
36926,85,2013-05-07,2013-06-02,1,0,2,"1394 S OLD LAKE SHORE DR E, CHICAGO",BLACK,M,1983-03-29,chicago,30.0,,,2,0
36817,86,2012-02-27,2012-03-02,0,0,2,"3419 W DRUMMOND PL, CHICAGO",BLACK,F,1990-08-26,chicago,21.0,,,2,0
30062,86,2012-07-12,2012-07-13,0,0,3,"159 N DEARBORN ST, CHICAGO",BLACK,F,1990-08-26,chicago,21.0,,,3,0
26334,87,2012-02-19,2012-04-28,1,0,7,"327 N FAIRFIELD AVE, CHICAGO",BLACK,M,1973-08-18,chicago,38.0,,,7,0
73945,88,2012-11-04,2013-12-13,1,1,4,"1033 S WASHTENAW AVE, Chicago",WHITE,M,1984-05-02,chicago,28.0,,,4,1
82238,88,2012-12-14,2013-02-23,1,0,5,"2056 S CHINA PL, CHICAGO",WHITE,M,1984-05-02,chicago,28.0,,,5,0
11837,89,2013-05-13,2014-03-10,0,1,3,"5516 W LELAND AVE, CHICAGO",WHITE,F,1980-11-09,chicago,32.0,,,3,1
12598,89,2013-07-05,2014-06-11,1,0,4,"9419 S GENOA AVE, CHICAGO",WHITE,F,1980-11-09,chicago,32.0,,,4,0
81377,90,2013-02-21,2014-08-05,0,0,4,"1988 W RANDOLPH ST, CHICAGO",BLACK,M,1982-08-20,chicago,30.0,,,4,0
17791,91,2013-04-29,2013-11-11,1,0,4,"1491 W MARQUETTE RD, CHICAGO",WHITE,M,1976-10-26,chicago,36.0,,,4,0
34584,92,2012-10-07,2013-01-21,0,0,7,"31 W CHESTNUT ST, CHICAGO",BLACK,M,1967-04-05,chicago,45.0,,,7,0
23140,93,2013-09-30,2014-01-13,0,0,4,"5741 N JERSEY AVE, CHICAGO",WHITE,M,1979-03-29,chicago,34.0,,,4,0
10919,95,2012-05-29,2012-10-15,1,1,5,"9608 S CHICAGO SKYWAY STONY ISLAND AV ER, CHICAGO",BLACK,M,1976-11-25,chicago,35.0,,,5,1
85770,95,2012-08-17,2012-08-28,1,0,6,"61 E 120TH PL, CHICAGO",BLACK,M,1976-11-25,chicago,35.0,,,6,0
35029,95,2013-07-06,2014-04-27,1,0,7,"69 E GOETHE ST, CHICAGO",BLACK,M,1976-11-25,chicago,36.0,,,7,0
64563,96,2012-04-23,2013-05-31,0,1,4,"4728 N LSD LAWRENCE AV XR, CHICAGO",ASIAN,M,1976-10-20,chicago,35.0,,,4,1
72112,96,2013-01-08,2013-06-26,0,0,5,"4869 S I57 119TH ST ER, CHICAGO",ASIAN,M,1976-10-20,chicago,36.0,,,5,0
77287,96,2013-08-15,2013-12-09,1,0,6,"10282 S VAN VLISSINGEN RD, CHICAGO",ASIAN,M,1976-10-20,chicago,36.0,,,6,0
77385,98,2012-01-23,2012-08-15,1,0,5,"1943 N MOODY AVE, CHICAGO",BLACK,M,1963-07-22,chicago,48.0,,,5,0
81087,100,2012-03-11,2012-06-12,1,0,5,"549 E LSD LSD WACKER DR XR, CHICAGO",BLACK,M,1984-09-07,chicago,27.0,,,5,0
49420,101,2012-03-16,2013-04-29,1,0,1,"104 W GERMANIA PL, CHICAGO",BLACK,M,1990-09-12,chicago,21.0,,,1,0
41162,102,2013-09-01,2013-09-07,0,0,3,"59 E CARVER PLZ, CHICAGO",WHITE,F,1991-02-28,chicago,22.0,,,3,0
63432,103,2013-06-25,2013-11-05,1,0,2,"1280 W BELLE PLAINE AVE, CHICAGO",BLACK,M,1986-12-22,chicago,26.0,,,2,0
6702,104,2012-11-10,2012-12-30,1,0,1,"6559 W RAVEN ST, CHICAGO",BLACK,M,1984-05-08,chicago,28.0,,,1,0
655,104,2013-08-21,2014-01-24,0,0,2,"636 W DAN RYAN OB EISENHOWER OB ER, CHICAGO",BLACK,M,1984-05-08,chicago,29.0,,,2,0
63208,107,2012-05-27,2013-02-05,1,1,3,"3592 E 105TH ST, CHICAGO",BLACK,M,1979-11-23,chicago,32.0,,,3,1
39603,107,2012-12-06,2013-02-04,0,0,4,"6632 N OTSEGO AVE, CHICAGO",BLACK,M,1979-11-23,chicago,33.0,,,4,0
4651,109,2013-04-05,2013-09-03,0,0,7,"1928 W STEVENSON DAMEN AV XR, CHICAGO",BLACK,M,1960-10-02,chicago,52.0,,,7,0
37392,112,2013-01-02,2013-05-16,0,0,1,"2126 W HOPKINS PL, CHICAGO",ASIAN,M,1990-07-01,chicago,22.0,,,1,0
11594,113,2012-04-27,2012-11-15,1,1,6,"4828 S LAWLER AVE, CHICAGO",BLACK,F,1977-10-24,chicago,34.0,,,6,1
9611,113,2012-07-19,2012-10-08,0,0,7,"1353 W AINSLIE ST, CHICAGO",BLACK,F,1977-10-24,chicago,34.0,,,7,0
92028,113,2013-04-24,2014-05-16,1,1,8,"412 S EISENHOWER CANAL ER, CHICAGO",BLACK,F,1977-10-24,chicago,35.0,,,8,1
85898,113,2013-07-18,2014-07-29,1,0,9,"420 E 25TH ST, CHICAGO",BLACK,F,1977-10-24,chicago,35.0,,,9,0
18045,114,2012-04-10,2012-07-24,0,0,1,"1802 S BURNHAM HARBOR DR, Chicago",BLACK,F,1992-10-07,chicago,19.0,,,1,0
22268,115,2012-06-04,2013-03-07,0,1,3,"2410 N KEDZIE BLVD E, Chicago",WHITE,M,1977-12-01,chicago,34.0,,,3,1
71397,115,2012-08-18,2013-02-16,0,0,4,"2301 W 73RD PL, CHICAGO",WHITE,M,1977-12-01,chicago,34.0,,,4,0
47095,115,2013-09-01,2014-02-27,1,0,5,"3689 N SOUTHPORT AVE, CHICAGO",WHITE,M,1977-12-01,chicago,35.0,,,5,0
86954,116,2012-04-06,2013-01-21,0,0,3,"5935 S PAULINA ST, CHICAGO",BLACK,M,1980-10-03,chicago,31.0,,,3,0
80098,116,2013-04-06,2013-04-19,0,0,4,"2985 S MCDERMOTT ST, CHICAGO",BLACK,M,1980-10-03,chicago,32.0,,,4,0
60688,117,2012-12-02,2013-05-01,1,1,6,"5048 W EISENHOWER LARAMIE AV ER, CHICAGO",BLACK,M,1956-05-30,chicago,56.0,,,6,1
22059,117,2012-12-05,2013-02-26,1,0,7,"1983 N MARCEY ST, CHICAGO",BLACK,M,1956-05-30,chicago,56.0,,,7,0
28537,118,2012-09-05,2014-03-17,1,1,2,"166 W DELAWARE PL, CHICAGO",WHITE,M,1980-03-03,chicago,32.0,,,2,1
35546,118,2012-09-12,2013-01-03,0,0,3,"1934 W 52ND PL, CHICAGO",WHITE,M,1980-03-03,chicago,32.0,,,3,0
85705,119,2012-06-08,2014-06-11,0,0,2,"2870 E 91ST ST, CHICAGO",WHITE,M,1983-12-05,chicago,28.0,,,2,0
89876,120,2012-05-19,2012-06-16,1,0,4,"3528 E 87TH ST, CHICAGO",BLACK,M,1981-11-15,chicago,30.0,,,4,0
25264,120,2013-09-07,2013-12-10,1,0,5,"2749 W CHANAY ST, CHICAGO",BLACK,M,1981-11-15,chicago,31.0,,,5,0
93300,121,2012-01-31,2012-05-17,0,1,2,"499 S EISENHOWER IB KENNEDY OB ER, CHICAGO",BLACK,M,1982-07-30,chicago,29.0,,,2,1
7270,121,2012-04-18,2012-07-27,1,0,3,"3181 N LSD BELMONT AV ER, CHICAGO",BLACK,M,1982-07-30,chicago,29.0,,,3,0
64322,125,2012-05-14,2014-03-08,0,1,3,"2750 W PRINDIVILLE ST, CHICAGO",BLACK,M,1982-11-10,chicago,29.0,,,3,1
49035,125,2012-09-04,2012-12-17,1,0,4,"301 N CONSERVATORY DR, CHICAGO",BLACK,M,1982-11-10,chicago,29.0,,,4,0
51301,126,2012-02-06,2012-04-01,0,0,5,"3224 N WAYNE AVE, CHICAGO",ASIAN,F,1983-08-05,chicago,28.0,,,5,0
43427,127,2013-01-26,2014-10-24,0,0,1,"3196 S LSD 31ST ST XR, CHICAGO",BLACK,M,1984-07-24,chicago,28.0,,,1,0
9088,128,2012-09-28,2014-04-06,0,0,2,"2034 W PRATT BLVD, Chicago",BLACK,M,1989-03-27,chicago,23.0,,,2,0
25968,129,2013-01-08,2013-01-16,0,0,4,"1990 N MONTICELLO AVE, CHICAGO",BLACK,M,1976-07-06,chicago,36.0,,,4,0
98176,129,2013-04-20,2013-04-29,1,1,5,"5108 N KENNEDY CENTRAL AV XR, CHICAGO",BLACK,M,1976-07-06,chicago,36.0,,,5,1
97653,129,2013-04-24,2013-06-19,0,0,6,"6177 S LAKE SHORE DR, CHICAGO",BLACK,M,1976-07-06,chicago,36.0,,,6,0
11475,131,2012-06-12,2012-11-20,1,0,0,"1832 N WILMOT AVE, CHICAGO",BLACK,M,1993-12-09,chicago,18.0,,,0,0
31195,133,2012-03-18,2012-06-12,1,0,3,"1587 N NORTH PARK AVE, CHICAGO",WHITE,M,1983-09-14,chicago,28.0,,,3,0
35966,133,2013-09-12,2014-02-19,0,0,4,"10257 S ACCESS RD, CHICAGO",WHITE,M,1983-09-14,chicago,29.0,,,4,0
32355,134,2012-03-26,2013-01-01,0,1,5,"2695 W STEVENSON EXPY IB, Chicago",WHITE,M,1981-09-22,chicago,30.0,,,5,1
84861,134,2012-05-26,2012-07-29,1,0,6,"958 W COLLEGE PKWY, Chicago",WHITE,M,1981-09-22,chicago,30.0,,,6,0
77652,136,2013-06-02,2014-02-23,1,0,4,"5713 S NEENAH AVE, CHICAGO",BLACK,M,1973-11-29,chicago,39.0,,,4,0
51680,138,2013-09-01,2014-04-18,0,0,2,"9566 S EDWARD BARRON DR, CHICAGO",BLACK,M,1983-02-28,chicago,30.0,,,2,0
36194,139,2012-12-02,2014-09-06,1,1,6,"10661 S PERRY AVE, CHICAGO",BLACK,M,1977-05-31,chicago,35.0,,,6,1
6970,139,2013-02-26,2013-03-09,1,0,7,"2291 S DAN RYAN CANALPORT AV ER, CHICAGO",BLACK,M,1977-05-31,chicago,35.0,,,7,0
72612,140,2012-02-12,2012-06-30,1,0,2,"1066 W BALMORAL AVE, CHICAGO",BLACK,M,1994-08-11,chicago,17.0,,,2,0
20794,140,2012-08-01,2013-03-22,1,1,3,"8491 S GILBERT CT, CHICAGO",BLACK,M,1994-08-11,chicago,17.0,,,3,1
43358,140,2012-08-10,2012-08-14,1,0,4,"5104 N LSD FOSTER AV XR, Chicago",BLACK,M,1994-08-11,chicago,17.0,,,4,0
28804,140,2013-08-19,2014-04-22,1,1,5,"229 E ONTARIO ST, CHICAGO",BLACK,M,1994-08-11,chicago,19.0,,,5,1
55630,140,2013-08-24,2013-10-08,1,0,6,"11081 S BISHOP FORD 111TH ST XR WB, Chicago",BLACK,M,1994-08-11,chicago,19.0,,,6,0
58774,141,2012-03-14,2012-09-30,1,0,6,"214 E 73RD ST, CHICAGO",BLACK,M,1981-09-10,chicago,30.0,,,6,0
63556,141,2013-05-24,2014-10-11,1,1,7,"2079 E 103RD ST, CHICAGO",BLACK,M,1981-09-10,chicago,31.0,,,7,1
